Date,Open,High,Low,Close,Volume,Market Cap
Mar-11-2013,48.4,48.4,48.4,48.4,0,0
Mar-12-2013,44.2899,44.2899,44.2899,44.2899,0,0
Mar-13-2013,46.92,46.92,46.92,46.92,0,0
Mar-14-2013,47.1696,47.1696,47.1696,47.1696,0,0
Mar-15-2013,46.95,46.95,46.95,46.95,0,0
Mar-16-2013,47.0002,47.0002,47.0002,47.0002,0,0
Mar-17-2013,47.4,47.4,47.4,47.4,0,0
Mar-18-2013,51.6,51.6,51.6,51.6,0,0
Mar-19-2013,59.14,59.14,59.14,59.14,0,0
Mar-20-2013,64.4888,64.4888,64.4888,64.4888,0,0
Mar-21-2013,70.85,70.85,70.85,70.85,0,0
Mar-22-2013,69.865,69.865,69.865,69.865,0,0
Mar-23-2013,64.35,64.35,64.35,64.35,0,0
Mar-24-2013,71.5,71.5,71.5,71.5,0,0
Mar-25-2013,73.6,73.6,73.6,73.6,0,0
Mar-26-2013,78.5,78.5,78.5,78.5,0,0
Mar-27-2013,88.92,88.92,88.92,88.92,0,0
Mar-28-2013,86.18,86.18,86.18,86.18,0,0
Mar-29-2013,90.5,90.5,90.5,90.5,0,0
Mar-30-2013,92.19,92.19,92.19,92.19,0,0
Mar-31-2013,93.03,93.03,93.03,93.03,0,0
Apr-01-2013,104,104,104,104,0,0
Apr-02-2013,117.98,117.98,117.98,117.98,0,0
Apr-03-2013,135,135,135,135,0,0
Apr-04-2013,132.12,132.12,132.12,132.12,0,0
Apr-05-2013,142.3236,142.3236,142.3236,142.3236,0,0
Apr-06-2013,142.6311,142.6311,142.6311,142.6311,0,0
Apr-07-2013,162.301,162.301,162.301,162.301,0,0
Apr-08-2013,187.5,187.5,187.5,187.5,0,0
Apr-09-2013,230,230,230,230,0,0
Apr-10-2013,165,165,165,165,0,0
Apr-11-2013,124.9,124.9,124.9,124.9,0,0
Apr-12-2013,117,117,117,117,0,0
Apr-13-2013,93,93,93,93,0,0
Apr-14-2013,90,90,90,90,0,0
Apr-15-2013,82.386,82.386,82.386,82.386,0,0
Apr-16-2013,68.3557,68.3557,68.3557,68.3557,0,0
Apr-17-2013,93.07,93.07,93.07,93.07,0,0
Apr-18-2013,109.01,109.01,109.01,109.01,0,0
Apr-19-2013,118.48,118.48,118.48,118.48,0,0
Apr-20-2013,126.6155,126.6155,126.6155,126.6155,0,0
Apr-21-2013,119.2,119.2,119.2,119.2,0,0
Apr-22-2013,127.4,127.4,127.4,127.4,0,0
Apr-23-2013,143.475,143.475,143.475,143.475,0,0
Apr-24-2013,154.2,154.2,154.2,154.2,0,0
Apr-25-2013,141.71,141.71,141.71,141.71,0,0
Apr-26-2013,136.9,136.9,136.9,136.9,0,0
Apr-27-2013,128.0001,128.0001,128.0001,128.0001,0,0
Apr-28-2013,134.4444,135.98,132.1,134.21,0,1483338724.8387096
Apr-29-2013,134.444,147.488,134,144.54,0,1549500876.2569444
Apr-30-2013,144,146.93,134.05,139,0,1578684648.2083333
May-01-2013,139,139.89,107.72,116.99,0,1422546075.0972223
May-02-2013,116.38,125.6,92.2819,105.21,0,1236443772.3285713
May-03-2013,106.25,108.128,79.1,97.75,0,1037536837.6631944
May-04-2013,98.1,115,92.5,112.5,0,1161080070.9409723
May-05-2013,112.9,118.8,107.143,115.91,0,1268310696.2587411
May-06-2013,115.98,124.663,106.64,112.3,0,1322216068.4097223
May-07-2013,112.25,113.444,97.7,111.5,0,1200047410.9756944
May-08-2013,109.6,115.78,109.6,113.566,0,1255949697.4097223
May-09-2013,113.2,113.46,109.26,112.67,0,1245372317.6347518
May-10-2013,112.799,122,111.551,117.2,0,1296978426.4076655
May-11-2013,117.7,118.679,113.01,115.243,0,1295632312.1241136
May-12-2013,115.64,117.449,113.435,115,0,1286251828.7770035
May-13-2013,114.82,118.699,114.5,117.98,0,1301411889.2013888
May-14-2013,117.98,119.8,110.25,111.5,0,1311537042.2951388
May-15-2013,111.4,115.81,103.5,114.22,0,1250200218.339161
May-16-2013,114.22,118.76,112.2,118.76,0,1282659394.651568
May-17-2013,118.21,125.3,116.571,123.015,0,1334833730.5347223
May-18-2013,123.5,125.25,122.3,123.498,0,1379235727.4375
May-19-2013,123.211,124.5,119.571,121.99,0,1368860919.662021
May-20-2013,122.5,123.621,120.12,122,0,1368271987.4236112
May-21-2013,122.02,123,121.21,122.88,0,1367163585.8194444
May-22-2013,122.89,124.001,122,123.889,0,1372542171.1701388
May-23-2013,123.8,126.934,123.1,126.7,0,1398746908.6550522
May-24-2013,126.3,133.85,125.719,133.2,0,1441256680.9444444
May-25-2013,133.1,133.219,128.9,131.98,0,1472858824.34375
