date,supply,daily_increase
2022-07-18,19096443.55620155,226.7441860474646
2022-07-18,19096668.75,225.19379844889045
2022-07-19,19096893.75,225.0
2022-07-19,19097118.75,225.0
2022-07-19,19097343.75,225.0
2022-07-19,19097568.75,225.0
2022-07-20,19097793.75,225.0
2022-07-20,19098018.75,225.0
2022-07-20,19098243.75,225.0
2022-07-21,19098468.75,225.0
2022-07-21,19098693.992248062,225.24224806204438
2022-07-21,19098920.73643411,226.7441860474646
2022-07-21,19099147.480620153,226.74418604373932
2022-07-22,19099374.2248062,226.7441860474646
2022-07-22,19099600.0,225.77519379928708
2022-07-22,19099825.0,225.0
2022-07-22,19100050.0,225.0
2022-07-23,19100275.0,225.0
2022-07-23,19100500.0,225.0
2022-07-23,19100725.0,225.0
2022-07-23,19100950.0,225.0
2022-07-24,19101175.0,225.0
2022-07-24,19101400.0,225.0
2022-07-24,19101625.0,225.0
2022-07-24,19101850.0,225.0
2022-07-25,19102075.0,225.0
2022-07-25,19102300.532945737,225.5329457372427
2022-07-25,19102527.277131785,226.7441860474646
2022-07-25,19102754.02131783,226.74418604373932
2022-07-26,19102980.765503876,226.7441860474646
2022-07-26,19103206.25,225.48449612408876
2022-07-26,19103431.25,225.0
2022-07-26,19103656.25,225.0
2022-07-26,19103881.25,225.0
2022-07-27,19104106.25,225.0
2022-07-27,19104331.25,225.0
2022-07-27,19104556.25,225.0
2022-07-27,19104781.25,225.0
2022-07-28,19105006.25,225.0
2022-07-28,19105232.89728682,226.64728682115674
2022-07-28,19105459.64147287,226.7441860474646
2022-07-28,19105686.385658916,226.7441860474646
2022-07-29,19105912.5,226.11434108391404
2022-07-29,19106137.5,225.0
2022-07-29,19106362.5,225.0
2022-07-29,19106587.5,225.0
2022-07-30,19106812.5,225.0
2022-07-30,19107037.5,225.0
2022-07-30,19107262.5,225.0
2022-07-30,19107487.5,225.0
2022-07-31,19107712.5,225.0
2022-07-31,19107937.5,225.0
2022-07-31,19108162.5,225.0
2022-07-31,19108387.5,225.0
2022-08-01,19108612.5,225.0
2022-08-01,19108837.5,225.0
2022-08-01,19109062.5,225.0
2022-08-01,19109287.5,225.0
2022-08-02,19109512.5,225.0
2022-08-02,19109739.14728682,226.64728682115674
2022-08-02,19109965.89147287,226.7441860474646
2022-08-02,19110192.635658916,226.7441860474646
2022-08-03,19110418.75,226.11434108391404
2022-08-03,19110643.75,225.0
2022-08-03,19110868.75,225.0
2022-08-03,19111093.75,225.0
2022-08-04,19111318.75,225.0
2022-08-04,19111543.75,225.0
2022-08-04,19111768.75,225.0
2022-08-04,19111993.75,225.0
2022-08-05,19112218.75,225.0
2022-08-05,19112443.75,225.0
2022-08-05,19112668.75,225.0
2022-08-05,19112893.75,225.0
2022-08-06,19113118.75,225.0
2022-08-06,19113343.75,225.0
2022-08-06,19113568.75,225.0
2022-08-06,19113793.75,225.0
2022-08-06,19114018.75,225.0
2022-08-07,19114245.15503876,226.40503875911236
2022-08-07,19114471.899224807,226.7441860474646
2022-08-07,19114698.643410854,226.7441860474646
2022-08-07,19114925.0,226.35658914595842
2022-08-08,19115150.0,225.0
2022-08-08,19115375.0,225.0
2022-08-08,19115600.0,225.0
2022-08-08,19115825.0,225.0
2022-08-09,19116051.5503876,226.55038759857416
2022-08-09,19116278.294573642,226.74418604373932
2022-08-09,19116505.03875969,226.7441860474646
2022-08-09,19116731.25,226.2112403102219
2022-08-10,19116956.25,225.0
2022-08-10,19117181.25,225.0
2022-08-10,19117406.25,225.0
2022-08-10,19117631.25,225.0
2022-08-11,19117856.25,225.0
2022-08-11,19118081.25,225.0
2022-08-11,19118306.25,225.0
2022-08-11,19118531.25,225.0
2022-08-12,19118756.25,225.0
2022-08-12,19118981.25,225.0
2022-08-12,19119206.25,225.0
2022-08-12,19119431.25,225.0
